0,1,2,3,4,5,6,7,8,9,10,11,12
Empire Restaurant,Time: 11:00 AM to 11:00 PM ,"['Biryani', 'Mughlai', 'South Indian', 'Chinese', 'North Indian']","Dineout Pay, Food Court",800 for two people,"Chilli Kebab, Chicken Tikka, Shaadi Ki Biriyani, Dosaa Chicken, Kerala Paratha.","['Air Conditioned', 'Lift', 'Wifi', 'Home Delivery', 'Parking', 'Differently Abled Friendly', 'Cards Accepted', 'Wallet Accepted']",8 Votes,1 Reviews,3.7,,,
Chandni Chowk 2 Bangalore,Time: 12:00 PM to 10:30 PM ,"['North Indian', 'Fast Food']","Dineout Pay, Casual Dining",600 for two people,,"['Air Conditioned', 'Home Delivery', 'Cards Accepted', 'Wallet Accepted']",,,3,,,
SMOOR,Time: 10:00 AM to 11:00 PM ,"['Fast Food', 'Italian', 'Asian', 'Desserts']","Cafe, Dineout Pay, Bakery","1,000 for two people",,"['Air Conditioned', 'Home Delivery', 'Cards Accepted', 'Wallet Accepted']",2 Votes,No Reviews,4.9,,,
Kobe Sizzlers,Time: 12:00 PM to 11:00 PM ,"['American', 'Continental']","Dineout Pay, Casual Dining","1,400 for two people","Pepper Steak, Sizzler, Spicy Chicken, Mushrooms Cutlet, Mix Grill Platter.","['Valet Available', 'Home Delivery', 'Parking', 'Cards Accepted', 'Outdoor Seating', 'Wallet Accepted']",126 Votes,20 Reviews,4.1,,,
Queens Restaurant,Time: 12:00 PM to 11:00 PM ,"['North Indian', 'Fast Food']","Dineout Pay, Casual Dining",600 for two people,,"['Home Delivery', 'Cards Accepted', 'Live Screening', 'Wallet Accepted']",,,5,,,
Kathpal's,Time: 12:00 PM to 11:00 PM ,"['North Indian', 'Mughlai', 'Street Food', 'Awadhi']","Dineout Pay, Casual Dining",800 for two people,"Murgh Patiala, Chicken Cotton Kebab, Rajma Ki Galawat, Kaali Dal Handi, Murgh Makhanwala.","['Air Conditioned', 'Lift', 'Wifi', 'Home Delivery', 'Parking', 'Cards Accepted', 'Wallet Accepted']",,,3.9,,,
24th Main,Time:  (Opens at 07:00 PM)Sunday12:00 PM to 03:30 PMSunday07:00 PM to 09:00 PMMonday12:00 PM to 03:30 PMMonday07:00 PM to 09:00 PMTuesday12:00 PM to 03:30 PMTuesday07:00 PM to 09:00 PMWednesday12:00 PM to 03:30 PMWednesday07:00 PM to 09:00 PMThursday12:00 PM to 03:30 PMThursday07:00 PM to 09:00 PMFriday12:00 PM to 03:30 PMFriday07:00 PM to 09:00 PMSaturday12:00 PM to 03:30 PMSaturday07:00 PM to 09:00 PM,"['North Indian', 'Chinese', 'South Indian']","Dineout Pay, Casual Dining",800 for two people,"Crispy Chilli Corn, Paneer Tikka, Hara Bhara Kebab, Bisi Bele Bhath.","['Air Conditioned', 'Wifi', 'Valet Available', 'Home Delivery', 'Parking', 'Cards Accepted', 'Wallet Accepted']",49 Votes,15 Reviews,4.2,,,
B52 - Sports Bar,Time: 12:00 PM to 11:30 PM ,"['Fast Food', 'Chinese', 'American']","Dineout Pay, Casual Dining","1,200 for two people",,"['Smoking Area', 'Air Conditioned', 'Wifi', 'Valet Available', 'Parking', 'Differently Abled Friendly', 'Cards Accepted', 'Full Bar Available', 'Live Screening']",16 Votes,2 Reviews,4,,,
Drunken Monkey,Time: 08:00 AM to 12:00 AM ,['Beverages'],"Dineout Pay, Casual Dining",500 for two people,"Sandwiches, Fruit Juices, Chicken Sandwich, Oreo Shake, Irish Coffee Cream","['Air Conditioned', 'Cards Accepted', 'Outdoor Seating']",1 Votes,No Reviews,5,,,
Shahi Family Restaurant,Time: 11:00 AM to 11:30 PM ,"['North Indian', 'South Indian', 'Chinese']","Dineout Pay, Food Court",400 for two people,"Aloo Paratha, Kabab, Pasta, Pizza, Chicken Paratha.","['Home Delivery', 'Cards Accepted', 'Wallet Accepted']",,,,,,
1947,Time:  (Opens at 07:00 PM)Sunday12:30 PM to 03:30 PMSunday07:00 PM to 10:30 PMMonday12:30 PM to 03:30 PMMonday07:00 PM to 10:30 PMTuesday12:30 PM to 03:30 PMTuesday07:00 PM to 10:30 PMWednesday12:30 PM to 03:30 PMWednesday07:00 PM to 10:30 PMThursday12:30 PM to 03:30 PMThursday07:00 PM to 10:30 PMFriday12:30 PM to 03:30 PMFriday07:00 PM to 10:30 PMSaturday12:30 PM to 03:30 PMSaturday07:00 PM to 10:30 PM,"['North Indian', 'Chinese']","Dineout Pay, Casual Dining",900 for two people,"Panneer Butter Masala, Rabri, Gajar Ka Halwa, Aam Panna, Paneer Tikka, Tomato Basil Soup, Biryani.","['Air Conditioned', 'Lift', 'Home Delivery', 'Parking', 'Cards Accepted', 'Wallet Accepted']",90 Votes,21 Reviews,4.1,,,
Tipsy Bull - The Bar Exchange,Time: 12:00 PM to 12:00 AM ,"['Finger Food', 'Chinese', 'Continental', 'North Indian']","Dineout Pay, Nightlife","1,800 for two people","Crispy Onion Rings, Chicken Chop, Millet Chicken Bites, Lemon Chicken.","['Smoking Area', 'Air Conditioned', 'Wifi', 'Valet Available', 'Serves Alcohol', 'Parking', 'Cards Accepted', 'Outdoor Seating', 'Live Screening', 'Wallet Accepted']",220 Votes,20 Reviews,4.2,,,
Subway,Time: 11:00 AM to 11:00 PM ,"['Fast Food', 'Health Food']","Dineout Pay, Food Court",500 for two people,"Tandoori Chicken Tikka Salad, Italian Signature Wrap, Turkey Breast And Chicken Slices Signature Wrap, Corn And Peas Salad, Paneer Tikka Signature Wrap, Veggie Salad.","['Air Conditioned', 'Lift', 'Wifi', 'Home Delivery', 'Parking', 'Cards Accepted', 'Outdoor Seating', 'Wallet Accepted']",6 Votes,2 Reviews,3.5,,,
Sea Spice By 7 Star,Time: 11:00 AM to 11:00 PM ,"['Chinese', 'Mangalorean']","Dineout Pay, Casual Dining","1,200 for two people",,"['Air Conditioned', 'Lift', 'Serves Alcohol', 'Parking', 'Cards Accepted', 'Roof Top']",53 Votes,14 Reviews,4.1,,,
Savi Sagar,Time: 11:00 AM to 11:00 PM ,"['Chinese', 'Fast Food']","Dineout Pay, Casual Dining",300 for two people,"Paneer Butter Masala, Mushroom Biryani, Dal Tadka, Paneer Chilli, Green Peas Masala.","['Home Delivery', 'Parking', 'Cards Accepted', 'Wallet Accepted']",,,,,,
Pizza Hut,Time: 10:00 AM to 11:00 PM ,"['Pizza', 'Fast Food']",QSR,800 for two people,"Momo Mia Pizza - Veg, Momo Mia Pizza - Non Veg, Margherita, Corn And Cheese, Veggie Feast, Tandoori Paneer, Farmers Pick, Country Feast, Veggie Supreme, Chicken Sausage, Chicken Tikka, Triple Chicken Feast.","['Air Conditioned', 'Home Delivery', 'Cards Accepted', 'Wallet Accepted']",10 Votes,6 Reviews,4.3,,,
Smoke - The Sizzler House,Time: 11:30 AM to 11:00 PM ,['Continental'],"Dineout Pay, Casual Dining","1,000 for two people","Pizza, Chicken Skewer, Mocktails, Onion Rings, Burgers, Steak, Fish","['Air Conditioned', 'Lift', 'Home Delivery', 'Parking', 'Cards Accepted', 'Outdoor Seating', 'Wallet Accepted']",186 Votes,40 Reviews,4,,,
Nouvelle Garden - The Ambient Turret,Time:  (Opens at 07:30 PM)Sunday12:30 PM to 03:30 PMSunday07:30 PM to 11:00 PMMonday12:30 PM to 03:30 PMMonday07:30 PM to 11:00 PMTuesday12:30 PM to 03:30 PMTuesday07:30 PM to 11:00 PMWednesday12:30 PM to 03:30 PMWednesday07:30 PM to 11:00 PMThursday12:30 PM to 03:30 PMThursday07:30 PM to 11:00 PMFriday12:30 PM to 03:30 PMFriday07:30 PM to 11:00 PMSaturday12:30 PM to 03:30 PMSaturday07:30 PM to 11:00 PM,"['North Indian', 'Chinese']","Dineout Pay, Casual Dining",900 for two people,"Pepper Chicken, Kadai Chicken, Lasooni Palak Matar, Tikki Fries.","['Air Conditioned', 'Wifi', 'Valet Available', 'Home Delivery', 'Parking', 'Cards Accepted', 'Live Screening', 'Wallet Accepted']",146 Votes,71 Reviews,3.6,,,
Nooo Rules Restopub,Time: 12:00 PM to 11:00 PM ,"['Continental', 'North Indian', 'Chinese']","Dineout Pay, Casual Dining","1,200 for two people",,"['Air Conditioned', 'Lift', 'Cards Accepted', 'Wallet Accepted']",,,4.8,,,
Crumb Together,Time: 12:30 PM to 11:30 PM ,"['North Indian', 'Continental']","Dineout Pay, Casual Dining","1,200 for two people",,"['Air Conditioned', 'Parking', 'Cards Accepted', 'Candle Light Dinner', 'Outdoor Seating', 'Wallet Accepted']",141 Votes,13 Reviews,4.4,,,
Antra Veg.,Time: 11:00 AM to 11:00 PM ,"['North Indian', 'Chinese']","Dineout Pay, Casual Dining",800 for two people,"Sarso Da Saag, Sabzi Mastani, Makkai Shimla Wala, Paneer Lazeez, Kadhai Dhingri.","['Air Conditioned', 'Lift', 'Parking', 'Cards Accepted', 'Live Screening', 'Wallet Accepted']",3 Votes,2 Reviews,4.4,,,
Savoury,Time: 11:00 AM to 11:00 PM ,"['Arabian', 'North Indian', 'Chinese', 'Italian']","Dineout Pay, Casual Dining","1,000 for two people","Kalmi Kabab, Chicken Tikka, Ginger Chicken, Mutton Palak, Mutton Chops.","['Air Conditioned', 'Lift', 'Valet Available', 'Home Delivery', 'Parking', 'Cards Accepted', 'Wallet Accepted']",5 Votes,1 Reviews,4.4,,,
Millennials,Time: 10:00 AM to 11:30 PM ,"['North Indian', 'Continental', 'Italian']","Dineout Pay, Casual Dining","2,000 for two people",,"['Air Conditioned', 'Home Delivery', 'Parking', 'Cards Accepted', 'Outdoor Seating', 'Roof Top', 'Wallet Accepted']",3 Votes,No Reviews,4,,,
The Omega - IX,Time: 12:00 PM to 01:00 AM ,"['Chinese', 'Japanese', 'Asian', 'Continental']","Dineout Pay, Casual Dining","1,000 for two people",,"['Air Conditioned', 'Lift', 'Serves Alcohol', 'Parking', 'Cards Accepted', 'Wallet Accepted']",,,4.1,,,
ABs - Absolute Barbecues,Time: 11:30 AM to 04:30 PM ,"['North Indian', 'Desserts']","Dineout Pay, Casual Dining","1,600 for two people",,"['Air Conditioned', 'Lift', 'Wifi', 'Parking', 'Differently Abled Friendly', 'Cards Accepted']",553 Votes,109 Reviews,4.2,,,
Bekal,Time: 11:00 AM to 11:00 PM ,"['Kerala', 'Seafood', 'Mangalorean']","Dineout Pay, Casual Dining",800 for two people,"Prawn Ghee Roast, Fish, Chicken Stew, Appam, Sol Kadhi, Neer Dosa, Kerala Parotta","['Air Conditioned', 'Home Delivery', 'Cards Accepted', 'Wallet Accepted']",10 Votes,4 Reviews,3.9,,,
The Fisherman's Wharf,Time: 12:00 PM to 11:00 PM ,"['North Indian', 'Continental', 'Goan', 'Fast Food']","Dineout Pay, Casual Dining","1,600 for two people","Som Tom Salad, Spring Roll, Prawn Chilly Prawn, Crunchy Prawn, Tandoori Chicken, Fish Curry Rice.","['Smoking Area', 'Air Conditioned', 'Wifi', 'Valet Available', 'Home Delivery', 'Serves Alcohol', 'Parking', 'Live Performance', 'Cards Accepted', 'Candle Light Dinner', 'Outdoor Seating', 'Live Screening', 'Wallet Accepted']",1112 Votes,124 Reviews,4.2,,,
Kake Di Hatti,Time: 11:00 AM to 11:00 PM ,['North Indian'],"Dineout Pay, Casual Dining","2,000 for two people",,"['Air Conditioned', 'Lift', 'Cards Accepted', 'Roof Top', 'Wallet Accepted']",,,5,,,
Peekaboo,Time: 11:00 AM to 01:00 AM ,"['Continental', 'American', 'Italian', 'Beverages']","Dineout Pay, Casual Dining","1,000 for two people",,"['Air Conditioned', 'Home Delivery', 'Parking', 'Cards Accepted', 'Roof Top', 'Wallet Accepted']",,,5,,,
Empire Restaurant,Time: 11:00 AM to 01:00 AM ,"['Biryani', 'Mughlai', 'South Indian', 'Chinese', 'North Indian']","Dineout Pay, Casual Dining",800 for two people,"Al Faham Chicken, Kheema Dosa, Palak Gosht, Pepper Chicken, Brinjal Gravy, Basa Fish Satay.","['Air Conditioned', 'Home Delivery', 'Cards Accepted', 'Outdoor Seating', 'Wallet Accepted']",64 Votes,13 Reviews,3.8,,,
Sreeraj Lassi Bar,Time: 11:00 AM to 11:00 PM ,"['Beverages', 'Desserts']","Dineout Pay, QSR",200 for two people,"Gadbad, Fruit Falooda, Falooda Ice cream, Badami Falooda Ice cream, Fruit Salad with Jelly & Ice cream.","['Home Delivery', 'Parking', 'Cards Accepted', 'Outdoor Seating', 'Wallet Accepted']",1 Votes,1 Reviews,1,,,
Pizza Hut,Time: 11:00 AM to 10:30 PM ,"['Pizza', 'Fast Food']",Casual Dining,800 for two people,,"['Home Delivery', 'Cards Accepted', 'Wallet Accepted']",17 Votes,5 Reviews,4.3,,,
1947,Time:  (Opens at 07:00 PM)Sunday12:00 PM to 03:30 PMSunday07:00 PM to 10:30 PMMonday12:00 PM to 03:30 PMMonday07:00 PM to 10:30 PMTuesday12:00 PM to 03:30 PMTuesday07:00 PM to 10:30 PMWednesday12:00 PM to 03:30 PMWednesday07:00 PM to 10:30 PMThursday12:00 PM to 03:30 PMThursday07:00 PM to 10:30 PMFriday12:00 PM to 03:30 PMFriday07:00 PM to 10:30 PMSaturday12:00 PM to 03:30 PMSaturday07:00 PM to 10:30 PM,"['North Indian', 'Chinese']","Dineout Pay, Casual Dining",900 for two people,"Hara Bhara Kabab, Tandoori Aloo, Veg Kofta, Pudina Roti, Tawa Subji.","['Air Conditioned', 'Lift', 'Home Delivery', 'Parking', 'Cards Accepted', 'Wallet Accepted']",314 Votes,66 Reviews,4.1,,,
Le Arabia,Time: 12:00 PM to 12:00 AM ,"['North Indian', 'Chinese', 'Seafood', 'Arabian']","Cafe, Dineout Pay",700 for two people,"Barbecue Pepper Chicken, Barbeque Chicken, Ghee Rice, Hyderabadi Mutton Biryani, Sea Food, Hyderabadi Chicken Biryani, Shawarma","['Air Conditioned', 'Parking', 'Cards Accepted']",5 Votes,2 Reviews,2.9,,,
Chapter One Bar Maiin,Time: 11:00 AM to 12:30 AM ,"['Chinese', 'North Indian', 'Italian']","Dineout Pay, Casual Dining","1,300 for two people","Murgh Ghee Roast, Cocktails, Dum Biryani, Beer, Supreme Pizza, Long Island Iced Tea, Pasta Alfredo","['Smoking Area', 'DJ', 'Serves Alcohol', 'Parking', 'Live Performance', 'Cards Accepted', 'Roof Top', 'Live Screening', 'Wallet Accepted']",209 Votes,11 Reviews,4.4,,,
Mani's Dum Biryani,Time: 11:00 AM to 11:30 PM ,['Biryani'],"Dineout Pay, Casual Dining",700 for two people,"ebab Biryani, Raita, Chicken Biryani, Vegetable Biryani, Basmati Rice, Hyderabadi Biryani, Dum Biryani, Fish Biryani.","['Air Conditioned', 'Home Delivery', 'Cards Accepted', 'Live Screening', 'Wallet Accepted']",6 Votes,1 Reviews,4.6,,,
3 Monkeys Brew Pub,Time: 12:00 PM to 12:00 AM ,"['Continental', 'Fast Food']","Dineout Pay, Nightlife, Microbrewery","1,800 for two people","Buffalo Wings, Brewed Beer, Wheat Beer, Onion Rings, French Salad, Hefeweizen.","['Smoking Area', 'Air Conditioned', 'Lift', 'Parking', 'Differently Abled Friendly', 'Live Performance', 'Cards Accepted', 'Full Bar Available', 'Private Dining Available', 'Live Screening', 'Wallet Accepted']",211 Votes,23 Reviews,4.2,,,
Barbeque Nation,Time:  (Opens at 06:00 PM)Sunday11:30 AM to 03:30 PMSunday06:00 PM to 10:30 PMMonday11:30 AM to 03:30 PMMonday06:00 PM to 10:30 PMTuesday11:30 AM to 03:30 PMTuesday06:00 PM to 10:30 PMWednesday11:30 AM to 03:30 PMWednesday06:00 PM to 10:30 PMThursday11:30 AM to 03:30 PMThursday06:00 PM to 10:30 PMFriday11:30 AM to 03:30 PMFriday06:00 PM to 10:30 PMSaturday11:30 AM to 03:30 PMSaturday06:00 PM to 10:30 PM,"['North Indian', 'Chinese']","Dineout Pay, Casual Dining","1,600 for two people","Fish Pakoda, BBQ Prawns, Cajun Patatoes, Fish Chilli, Mutton Seekh, Pankulfi.","['Air Conditioned', 'Lift', 'Valet Available', 'Home Delivery', 'Parking', 'Differently Abled Friendly', 'Cards Accepted']",422 Votes,76 Reviews,4.3,,,
Float Brewery,Time: 12:00 PM to 11:30 PM ,"['Asian', 'European', 'Italian', 'North Indian']","Dineout Pay, Nightlife, Microbrewery","1,500 for two people","Spicy Pork, Pandi Fry, Peach Beer, Chicken Momo, Pork Tonkatsu, Beer, Drinks.","['Smoking Area', 'Lift', 'Valet Available', 'Home Delivery', 'Parking', 'Cards Accepted', 'Full Bar Available', 'Outdoor Seating', 'Roof Top', 'Live Screening', 'Wallet Accepted']",188 Votes,25 Reviews,4.2,,,
The Local,Time: 11:30 AM to 01:00 AM ,"['Mangalorean', 'Continental']","Dineout Pay, Nightlife","1,400 for two people","Prawn Ghee Roast, BBQ Chicken Pizza, Chicken Nachos, Appam.","['Smoking Area', 'Air Conditioned', 'Home Delivery', 'Serves Alcohol', 'Cards Accepted', 'Outdoor Seating', 'Live Screening']",141 Votes,21 Reviews,4.2,,,
Barista,Time:  (Opens at 08:00 AM)Sunday08:00 AM to 12:00 PMMonday08:00 AM to 12:00 PMTuesday08:00 AM to 12:00 PMWednesday08:00 AM to 12:00 PMThursday08:00 AM to 12:00 PMFriday08:00 AM to 12:00 PMSaturday08:00 AM to 12:00 PM,"['Beverages', 'Desserts', 'Fast Food']","Cafe, Dineout Pay",500 for two people,"Coffee, Cappuccino, Sandwiches, Chicken Sandwich, Ginger Tea","['Air Conditioned', 'Wifi', 'Home Delivery', 'Cards Accepted', 'Outdoor Seating', 'Wallet Accepted']",,,3,,,
Hightide Restobar,Time: 11:00 AM to 11:00 PM ,"['Chinese', 'North Indian', 'Continental', 'Asian']","Dineout Pay, Casual Dining","2,000 for two people","Cashewnut Fry, Lamb Pepper Dry, Butter Garlic Noodles, Ghost Sheek Kabab, Murgh Karachi, Mutton Pepper Fry.","['Smoking Area', 'Lift', 'Wifi', 'Home Delivery', 'Serves Alcohol', 'Parking', 'Cards Accepted', 'Outdoor Seating', 'Roof Top', 'Live Screening', 'Wallet Accepted']",90 Votes,10 Reviews,4.2,,,
Royal Calcutta,Time: 11:00 AM to 11:00 PM ,"['Bengali', 'Chinese', 'North Indian']","Dineout Pay, Casual Dining",800 for two people,"Aloo Posto, Chicken Masala, Kanchi Chicken, Fish Pakoda, Prawn Chilly, Chingri Jhal, Chicken Korma.","['Home Delivery', 'Cards Accepted', 'Wallet Accepted']",1 Votes,No Reviews,5,,,
Frozen Bottle,Time: 11:00 AM to 11:00 PM ,"['Beverages', 'Desserts']","Dineout Pay, QSR",400 for two people,,"['Air Conditioned', 'Cards Accepted', 'Wallet Accepted']",,,3.8,,,
Arabian Hot Spot,Time: 11:00 AM to 11:00 PM ,"['Arabian', 'North Indian', 'Fast Food', 'Beverages']","Dineout Pay, Casual Dining","1,200 for two people","Lamb Chops, Haneedh Mutton Mandi, Prawns Mandi, Arabic Chicken Platter, Shadi Dum Biryani.","['Air Conditioned', 'Parking', 'Cards Accepted', 'Wallet Accepted']",15 Votes,4 Reviews,4.1,,,
Kanti Sweets,Time: 11:00 AM to 11:00 PM ,['Desserts'],QSR,500 for two people,,"['Home Delivery', 'Cards Accepted', 'Wallet Accepted']",,,4.7,,,
The Bangalore Dhaba,Time: 11:30 AM to 11:00 PM ,"['North Indian', 'Chinese']","Dineout Pay, Casual Dining","1,400 for two people","Paneer Tikka, Paneer Pudina, Tandoor Gobi, Murgh Kalimirch, Chicken Seekh Kebab.","['Smoking Area', 'Air Conditioned', 'DJ', 'Differently Abled Friendly', 'Live Performance', 'Cards Accepted', 'Full Bar Available', 'Outdoor Seating', 'Live Screening']",112 Votes,14 Reviews,4.2,,,
Pizza Hut,Time: 09:00 AM to 11:00 PM ,"['Pizza', 'Fast Food']",Casual Dining,800 for two people,,"['Air Conditioned', 'Home Delivery', 'Cards Accepted', 'Wallet Accepted']",17 Votes,3 Reviews,4.3,,,
Chinese Wok,Time: 11:00 AM to 11:00 PM ,"['Chinese', 'Asian']","Dineout Pay, Casual Dining",600 for two people,,"['Home Delivery', 'Wallet Accepted']",,,,,,
Jain Bakes,Time: 11:00 AM to 11:00 PM ,['Desserts'],"Dineout Pay, Bakery",300 for two people,"Baby Rusk, Choco Truffle, Death By Chocolate, Sweet & Salt Cookies, Black Forest.","['Cards Accepted', 'Wallet Accepted']",,,,,,
Biggies Burger,Time: 12:00 PM to 11:00 PM ,"['Burger', 'Fast Food']","Dineout Pay, QSR",500 for two people,,"['Parking', 'Cards Accepted', 'Wallet Accepted']",,,,,,
House of Candy,Time: 11:00 AM to 09:00 PM ,['Desserts'],"QSR, Food Court",300 for two people,"Candy Necklace, Chocolate Almond Candy Dark, Chocolate Flavoured Beans, Cola Bottle, Fizzy Chips.","['Air Conditioned', 'Lift', 'Wifi', 'Home Delivery', 'Parking', 'Differently Abled Friendly', 'Cards Accepted', 'Wallet Accepted']",,,,,,
La Pizzeria,Time: 11:00 AM to 10:30 PM ,['Pizza'],"Dineout Pay, Casual Dining",700 for two people,,"['Air Conditioned', 'Home Delivery', 'Cards Accepted', 'Outdoor Seating', 'Wallet Accepted']",12 Votes,5 Reviews,4.2,,,
Cookie Man,Time: 10:00 AM to 10:00 PM ,"['Desserts', 'Beverages']","Dineout Pay, Bakery",300 for two people,,"['Air Conditioned', 'Home Delivery', 'Parking', 'Cards Accepted', 'Wallet Accepted']",,,,,,
Street Foods by Punjab Grill,Time: 11:00 AM to 11:00 PM ,"['North Indian', 'Street Food']","Dineout Pay, QSR",500 for two people,,"['Air Conditioned', 'Lift', 'Home Delivery', 'Parking']",,,,,,
Pathaan Sir,Time: 01:00 PM to 11:30 PM ,['Fast Food'],"Dineout Pay, QSR",300 for two people,,"['Home Delivery', 'Wallet Accepted']",,,,,,
Kunafa Lounge,Time: 11:00 AM to 11:00 PM ,['Desserts'],QSR,400 for two people,"Nutty Kunafa, Almond Volcano, Fruit Island, Kesar Falooda, Crunchy Kitat, Chocolate Bomb.","['Air Conditioned', 'Home Delivery', 'Cards Accepted', 'Wallet Accepted']",6 Votes,4 Reviews,1,,,
Secret of Bangalore,Time: 11:00 AM to 01:00 AM ,"['North Indian', 'Chinese', 'Continental']","Dineout Pay, Casual Dining, Nightlife","1,500 for two people",,"['Smoking Area', 'Wifi', 'Valet Available', 'Parking', 'Cards Accepted', 'Full Bar Available', 'Outdoor Seating', 'Live Screening', 'Wallet Accepted']",483 Votes,94 Reviews,4.2,,,
Asia Seven,Time: 11:00 AM to 11:00 PM ,"['Chinese', 'Asian']","Dineout Pay, Food Court",800 for two people,,"['Air Conditioned', 'Lift', 'Parking']",,,,,,
Narmada Chain of Restaurants,Time: 11:30 AM to 12:00 AM ,"['North Indian', 'Chinese']","Dineout Pay, Casual Dining",800 for two people,,"['Air Conditioned', 'Home Delivery', 'Cards Accepted', 'Wallet Accepted']",,,4.5,,,
Bangalore Adda,Time: 11:00 AM to 11:30 PM ,"['North Indian', 'Continental', 'Chinese']","Dineout Pay, Nightlife","1,400 for two people",,"['Air Conditioned', 'Home Delivery', 'Serves Alcohol', 'Parking', 'Live Performance', 'Cards Accepted', 'Hookah', 'Live Screening', 'Wallet Accepted']",,,4.7,,,
Kargeens,Time: 11:00 AM to 11:00 PM ,"['Continental', 'Fast Food', 'Beverages']","Cafe, Dineout Pay",800 for two people,"Mocktails, Nachos, Burgers, Virgin Mojito, Pasta, Mac N Cheese, Pizza.","['Smoking Area', 'Lift', 'Home Delivery', 'Parking', 'Differently Abled Friendly', 'Cards Accepted', 'Hookah', 'Outdoor Seating', 'Roof Top', 'Wallet Accepted']",132 Votes,17 Reviews,4,,,
Flavours Cafe and  Lounge,Time: 11:00 AM to 11:00 PM ,"['North Indian', 'Continental', 'Fast Food', 'Biryani', 'Pizza', 'Beverages']",Dineout Pay,900 for two people,"Tandoori Roti, Peri Peri Chicken, Grilled Pepper Chicken, Peri Peri Chicken, Aloo Paratha, Paneer Paratha.","['Smoking Area', 'Air Conditioned', 'Wifi', 'Home Delivery', 'Parking', 'Cards Accepted', 'Hookah', 'Outdoor Seating', 'Private Dining Available', 'Wallet Accepted']",1 Votes,No Reviews,3.8,,,
Chai Central,Time: 09:00 AM to 11:00 PM ,"['Fast Food', 'Beverages']","Dineout Pay, QSR",300 for two people,,"['Home Delivery', 'Wallet Accepted']",,,,,,
Hotel Godavari,Time: 12:00 PM to 11:00 PM ,"['Andhra', 'North Indian', 'Biryani', 'Chinese']","Dineout Pay, Casual Dining",500 for two people,"Butter Naan, Prawns Biryani, Mushroom Fried Rice, Chicken Schezwan Fried Rice, Chicken Manchurian.","['Home Delivery', 'Cards Accepted', 'Wallet Accepted']",2 Votes,No Reviews,2.3,,,
THE BEL ST.,Time: 11:00 AM to 11:00 PM ,"['Fast Food', 'Continental', 'Chinese', 'Beverages']","Cafe, Dineout Pay","1,000 for two people","Bruschettas, Pasta, Coffee, Bbq Chicken Pizza, Nachos, Pancakes, Belgian Hot Chocolate","['Smoking Area', 'Air Conditioned', 'Wifi', 'Parking', 'Cards Accepted', 'Outdoor Seating', 'Live Screening']",46 Votes,8 Reviews,4.5,,,
Big J's - Bar & Grill,Time: 12:00 PM to 10:00 PM ,"['Burger', 'Continental', 'American']","Cafe, Dineout Pay",700 for two people,,"['Smoking Area', 'Air Conditioned', 'Home Delivery', 'Parking', 'Cards Accepted', 'Wallet Accepted']",,,,,,
Chowman,Time: 12:00 PM to 05:00 PM ,"['Chinese', 'Asian', 'Thai']","Dineout Pay, Casual Dining",900 for two people,"Chicken Fried Rice, Chilli Chicken, Chicken Sweet Corn Soup, Mixed Wok Tossed Hakka Noodles, Chicken Cantonese Noodles.","['Air Conditioned', 'Home Delivery', 'Cards Accepted', 'Wallet Accepted']",,,4.3,,,
Thanco's Natural Ice Cream,Time: 12:00 PM to 11:00 PM ,['Desserts'],"Dineout Pay, Dessert Parlour",300 for two people,,"['Air Conditioned', 'Home Delivery', 'Cards Accepted', 'Live Screening', 'Wallet Accepted']",9 Votes,5 Reviews,2.6,,,
Ferment,Time: 11:30 AM to 11:30 PM ,"['Continental', 'North Indian', 'Chinese']",Nightlife,"1,200 for two people",,"['Smoking Area', 'Serves Alcohol', 'Parking', 'Cards Accepted', 'Outdoor Seating', 'Live Screening', 'Wallet Accepted']",123 Votes,16 Reviews,4.2,,,
Just Shawarma,Time: 11:00 AM to 11:00 PM ,"['Lebanese', 'Fast Food']","Dineout Pay, QSR",300 for two people,"Whole Meat Value Meal, Just Chicken Fries Combo, Falafel Value Meal, Whole Meat Value Meal, Malgoum Value Meal.","['Home Delivery', 'Parking', 'Cards Accepted', 'Wallet Accepted']",4 Votes,1 Reviews,3.5,,,
Catch Up,Time: 11:30 AM to 01:00 AM ,"['North Indian', 'Continental', 'Chinese']","Dineout Pay, Casual Dining",800 for two people,"Catch up Signature Kebab, Chicken Biryani, Goan Prawn Curry, Green Thai Curry.","['Air Conditioned', 'DJ', 'Wifi', 'Serves Alcohol', 'Parking', 'Cards Accepted', 'Outdoor Seating', 'Roof Top']",,,4,,,
