0,1,2,3,4,5,6,7,8,9,10,11,12
Tushita,Time: 12:30 PM to 01:00 AM ,"['Continental', 'Asian', 'Fusion']","Dineout Pay, Casual Dining, Nightlife","2,000 for two people",,"['Air Conditioned', 'Lift', 'Valet Available', 'Serves Alcohol', 'Parking', 'Cards Accepted', 'Live Screening', 'Wallet Accepted']",,,4.2,,,
Biergarten,Time: 11:00 AM to 11:00 PM ,"['Continental', 'European']","Dineout Pay, Microbrewery","2,400 for two people","Wheat Beer, Caesar Salad, Craft Beer, Cheesy Garlic Bread","['Smoking Area', 'DJ', 'Lift', 'Wifi', 'Valet Available', 'Serves Alcohol', 'Parking', 'Live Performance', 'Cards Accepted', 'Dance Floor', 'Outdoor Seating', 'Roof Top', 'Live Screening', 'Wallet Accepted']",1034 Votes,96 Reviews,4.4,,,
Candles Brewhouse,Time: 12:00 PM to 12:00 AM ,"['North Indian', 'South Indian', 'Chinese', 'Continental', 'Italian']","Dineout Pay, Microbrewery","2,500 for two people",,"['Smoking Area', 'Air Conditioned', 'DJ', 'Lift', 'Serves Alcohol', 'Cards Accepted', 'Roof Top', 'Live Screening', 'Wallet Accepted']",,,3.9,,,
Cafe Noir,Time: 12:00 PM to 11:00 PM ,"['Continental', 'French']","Cafe, Dineout Pay","1,700 for two people","Strawberry Tart, Almond Croissant, Macaroon, Quiche Lorraine, Croque Monsieur.","['Valet Available', 'Home Delivery', 'Parking', 'Cards Accepted', 'Outdoor Seating', 'Wallet Accepted']",198 Votes,15 Reviews,4.4,,,
RCB Bar & Cafe,Time: 12:30 PM to 12:00 AM ,"['Continental', 'Finger Food', 'Asian', 'North Indian']","Dineout Pay, Casual Dining","2,500 for two people",,"['Smoking Area', 'Home Delivery', 'Live Performance', 'Cards Accepted', 'Full Bar Available', 'Wallet Accepted']",18 Votes,1 Reviews,4.4,,,
Farzi Cafe,Time: 12:00 PM to 12:00 AM ,['Modern Indian'],"Dineout Pay, Casual Dining","1,600 for two people","Asparagus & Waterchestnut Khurma, Donne Biryani Bowl, Shawarma Biryani, Gongura Chicken Curry,  Alleppey Duck Curry, Jalfrezi Lasagna, Potato Crisp, Farzi OK, Drinks on Highway, Three Musketeer, Farzi Idea, Santa Bunta","['Air Conditioned', 'Lift', 'Parking', 'Differently Abled Friendly', 'Live Performance', 'Cards Accepted', 'Full Bar Available']",910 Votes,72 Reviews,4.3,,,
The Biere Club,Time: 12:00 PM to 11:30 PM ,['Finger Food'],"Dineout Pay, Nightlife","2,000 for two people","Wheat Beer, Pizza, Cocktails, Virgin Sangria, Meatballs, Fish.","['Smoking Area', 'Air Conditioned', 'Valet Available', 'Parking', 'Cards Accepted', 'Full Bar Available', 'Outdoor Seating', 'Live Screening']",912 Votes,77 Reviews,4.3,,,
Skydeck By Sherlocks,Time: 11:30 AM to 01:00 AM ,"['North Indian', 'Chinese']","Dineout Pay, Nightlife","1,400 for two people","Handcrafted Cocktails, Fish and Chips, Peri Fries, Fish Fingers, Cocktail, Pork.","['Smoking Area', 'Air Conditioned', 'DJ', 'Lift', 'Wifi', 'Parking', 'Differently Abled Friendly', 'Live Performance', 'Cards Accepted', 'Full Bar Available', 'Dance Floor', 'Outdoor Seating', 'Roof Top', 'Live Screening']",172 Votes,13 Reviews,4.3,,,
The London Curry House,Time: 12:00 PM to 10:00 PM ,"['North Indian', 'Chinese', 'Italian']","Dineout Pay, Casual Dining","1,700 for two people","Flower Pot Dessert, Baby Corn Cigars, Grilled Potato, Oreo Brownie, Missal Pav.","['Wifi', 'Valet Available', 'Parking', 'Differently Abled Friendly', 'Cards Accepted', 'Outdoor Seating', 'Wallet Accepted']",842 Votes,98 Reviews,4.4,,,
7 Rivers Brewing Co.,Time: 11:30 AM to 11:00 PM ,"['Continental', 'Finger Food']","5 Star, Dineout Pay, Microbrewery","3,300 for two people",,"['Smoking Area', 'Air Conditioned', 'Lift', 'Wifi', 'Valet Available', 'Parking', 'Cards Accepted', 'Full Bar Available', 'Outdoor Seating', 'Poolside']",93 Votes,16 Reviews,4.3,,,
