Name,EMI,Price,Mileage,ENGINE,TRANSMISSION,FUEL TYPE,Price range,Length (mm),Wheelbase (mm),Boot Space (L),Width (mm),Turning Radius (m),Fuel Capacity (L),Height (mm),Ground Clearance (mm),Colors,Seating Capacity,Displacement (cc),Peak Power,Peak Torque,Color Varients,Top_Speed
Hyundai Tucson,"38,330",22.55 Lakh,13-17 kmpl,1995 to 1999 cc ,Automatic ,"Petrol, Diesel ",₹ 22.55 - 27.33 Lakh ,4480,2670, - ,1850, - ,62,1660, - ," Phantom Black, Polar White, Starry Night, Typhoon Silver	 ",5,1995, 182 BHP@4000 RPM,400 NM @1750 RPM,8,208 km/h
Hyundai Kona Electric,"40,385",24.15 Lakh,452 Km,,Automatic ,Electric ,₹ 24.15 - 24.34 Lakh ,4180,2600, - ,1800, - , - ,1570,160," Marina Blue, Phantom Black, Polar White, PolarWhite/ Phantom Black, Typhoon Silver ",5, - , -,- ,11,155 km/h
Volkswagen Polo,"9,210",6.17 Lakh,16 - 20 kmpl ,999 cc ,"Manual, Automatic ",Petrol ,₹ 6.17 - 10 Lakh ,3971,2470,280,1682,4.97,45,1469,165," Candy White, Carbon Steel, Flash Red, Lapiz Blue, Reflex Silver, Sunset Red, Toffee Brown ",5,999, 75 BHP@6200 RPM,95 NM @3000 RPM,14,164 km/h
Volkswagen Vento,"14,771",9.14 Lakh,16 - 18 kmpl ,999 cc ,"Manual, Automatic ",Petrol ,₹ 9.14 - 13.83 Lakh ,4390,2553,494,1699,5.2,55,1467,163," Candy White, Carbon Steel, Lapiz Blue, Reflex Silver, Sunset Red, Toffee Brown ",5,999, 109 BHP@5000 RPM,175 NM @1750 RPM,12,183.8 km/h
Volkswagen T-Roc,"36,290",21.35 Lakh,18 kmpl ,1498 cc ,Automatic ,Petrol ,₹ 21.35 Lakh ,4234,2590,445,1819,5.5,59,1573, - ," Deep Black, Energetic Orange, Indium Grey, Kurkuma Yellow, Pure White, Ravenna Blue ",5,1498, 148 BHP@5000 RPM,250 NM @1500 RPM,12,250 km/h
Volkswagen Tiguan AllSpace,"58,132",34.2 Lakh,14 kmpl ,1984 cc ,Automatic ,Petrol ,₹ 34.2 Lakh ,4701,2787, - ,1839, - ,60,1674, - ," Deep Black Pearl, Habanero Orange, Petroleum Blue, Platinum Grey, Pure White, Pyrite Silver, Ruby Red ",7,1984, 188 BHP@4200 RPM,320 NM @1500 RPM,15,225 km/h
Tata Tiago,"5,777",4.86 Lakh,23 kmpl ,1199 cc ,"Manual, Automatic ",Petrol ,₹ 4.86 - 6.85 Lakh ,3746,2400,242,1647,4.9,35,1535,170," Arizona Blue, Daytona Grey, Flame Red, Pearlescent White, Pure Silver, Victory Yellow ",5,1199, 83 BHP@6000 RPM,114 NM @3500 RPM,12,150 km/h
Tata Tigor,"9,341",5.5 Lakh,20 kmpl ,1199 cc ,"Manual, Automatic ",Petrol ,₹ 5.5 - 7.64 Lakh ,3993,2450,419,1677,5.1,35,1532,170," Arizona Blue, Daytona Grey, Deep Red, Pearlescent White, Pure Silver ",5,1199, 85 BHP@6000 RPM,113 NM @3300 RPM,10,164 km/h
Tata Altroz,"9,681",5.7 Lakh,19-25 kmpl,1199 to 1497 cc ,Manual ,"Petrol, Diesel ",₹ 5.7 - 9.46 Lakh ,3990,2501, - ,1755,5,37,1523, - ," Avenue White, Downtown Red, Harbour Blue, High Street Gold, Midtown Grey, Skyline Silver ",5,1497, 88 BHP@4000 RPM,200 NM @1250 RPM,13,100 km/h
Tata Nexon,"12,067",7.1 Lakh,18 - 24 kmpl ,1199 to 1498 cc ,"Manual, Automatic ","Petrol, Diesel ",₹ 7.1 - 12.8 Lakh ,3993,2498,350,1811,5.1,44,1606,209," Calgary White, Daytona Grey, Flame Red, Foliage Green, Pure Silver ",5,1199, 119 BHP@5500 RPM,170 NM @1750 RPM,10,180 km/h
Tata Tigor EV,"16,291",10.51 Lakh,142 Km,,Automatic ,Electric ,₹ 10.51 - 10.83 Lakh ,3992,2450,255,1677,5.1, - ,1537,176," Egyptian Blue, Pearlescent White ",5, - , -,- ,4,80 km/h
Tata Nexon EV,"23,780",13.99 Lakh,312 km,,Automatic ,Electric ,₹ 13.99 - 16.4 Lakh ,3994,2498,350,1811,5.1, - ,1607,205," Glacier White, Moonlit Silver, Signature Teal Blue ", - , - , -,- ,7,120 km/h
Tata Harrier,"23,789",14 Lakh,14 - 16 kmpl ,1956 cc ,"Manual, Automatic ",Diesel ,₹ 14 - 20.46 Lakh ,4598,2741,425,1894, - ,50,1706,205," Atlas Black, Calypso Red, Camo Green, Orcus White, Telesto Grey ",5,1956, 168 BHP@3750 RPM,350 NM @1750 RPM,10,180 km/h
Tata Safari,"24,970",14.69 Lakh,16 kmpl ,1956 cc ,"Manual, Automatic ",Diesel ,₹ 14.69 - 21.45 Lakh ,4661,2741,447,1894, - ,50,1786,205," Daytona Grey, Orcus White, Royal Blue, Tropical Mist, Tropical Mist Adventure ",7,1956, 168 BHP@3750 RPM,350 NM @1750 RPM,11,175 km/h
Mahindra KUV100 NXT,"8,299",5.87 Lakh,18 kmpl ,1198 cc ,Manual ,Petrol ,₹ 5.87 - 7.45 Lakh ,3700,2385,243,1735,5.05,35,1655,170," Dazzling Silver/Metallic Black, Dazzling silver, Designer Gray, Fiery Orange, Flamboyant Red, Flamboyant Red/Metallic Black, Midnight Black, Pearl White ",6,1198, 82 BHP@5500 RPM,115 NM @3500 RPM,18,160 km/h
Mahindra XUV300,"13,519",7.95 Lakh,16 - 18 kmpl ,1197 to 1497 cc ,"Manual, Automatic ","Petrol, Diesel ",₹ 7.95 - 12.55 Lakh ,3995,2600,257,1821,5.3,42,1627,180," Aquamarine, Aquamarine/Pearl White, Dsat Silver, Napoli Black, Pearl White, Red Rage, Red Rage/Pearl White ",5,1197, 109 BHP@5000 RPM,200 NM @2000 RPM,14,160 km/h
Mahindra Bolero,"12,951",8.12 Lakh,17 kmpl ,1493 cc ,Manual ,Diesel ,₹ 8.12 - 9.1 Lakh ,3995,2680, - ,1745,5.8,60,1880,180," Diamond White, Lakeside Brown, Mist Silver, Silver ",7,1493, 75 BHP@3600 RPM,210 NM @1600 RPM,7,117 km/h
Mahindra Thar,"17,004",10 Lakh,15.2 kmpl,1997 to 2184 cc ,"Manual, Automatic ","Petrol, Diesel ",₹ 10 - 14.15 Lakh ,3985,2450, - ,1820, - ,57,1920,219," Aqua Marine, Galaxy Grey, Mystic Copper, Napoli Black, Red Rage, Rocky Beige ",4,2184, 130 BHP@3750 RPM,300 NM @1600 RPM,12,155 km/h
Mahindra Marazzo,"19,794",11.64 Lakh,18 kmpl ,1497 cc ,Manual ,Diesel ,₹ 11.64 - 13.8 Lakh ,4585,2760,190,1866, - ,45,1774, - ," Aqua Marine, Iceberg White, Mariner Maroon, Oceanic Black, Poseidon Purple, Shimmering Silver ",7,1497, 121 BHP@3500 RPM,300 NM @1750 RPM,12,145 km/h
Mahindra Scorpio,"17,338",11.98 Lakh,14 - 16 kmpl ,2179 cc ,Manual ,Diesel ,₹ 11.98 - 16.44 Lakh ,4456,2680, - ,1820,5.65,60,1995,180," Diamond White, Mist Silver, Molten Red, Napoli Black, Pearl White ",7,2179, 140 BHP@3750 RPM,320 NM @1500 RPM,10,163.81 km/h
Mahindra XUV500,"20,923",13.8 Lakh,16 kmpl ,2179 cc ,"Manual, Automatic ",Diesel ,₹ 13.8 - 19.46 Lakh ,4585,2700, - ,1890,5.6,70,1785,200," Crimson Red	, Lake Side Brown	, Moondust Silver	, Mystic Copper	, Opulent Purple	, Pearl White	, Volcano Black	 ",7,2179, 155 BHP@3750 RPM,360 NM @1700 RPM,21,144.57 km/h
Mahindra Alturas G4,"48,836",28.73 Lakh,14 kmpl ,2157 cc ,Automatic ,Diesel ,₹ 28.73 - 31.73 Lakh ,4850,2865, - ,1960,5.5,70,1845, - ," D Sat Silver, LakeSide Brown, Napoli Black, Pearl White, Regal Blue ",7,2157, 178 BHP@4000 RPM,420 NM @1600 RPM,11,182 km/h
Datsun redi-GO,"6,524",3.84 Lakh,21 - 22 kmpl ,799 to 999 cc ,"Manual, Automatic ",Petrol ,₹ 3.84 - 4.96 Lakh ,3435,2348,222,1574,4.7,28,1546,187," Bronze Grey, Crystal Silver, Opal White, Ruby Red, Sandstone Brown, Vivid Blue ",5,799, 54 BHP@5600 RPM,72 NM @4250 RPM,12,135 km/h
Datsun Go,"6,774",4.03 Lakh,19 - 20 kmpl ,1198 cc ,"Manual, Automatic ",Petrol ,₹ 4.03 - 6.51 Lakh ,3788,2450,265,1636,4.6, - ,1507,180," Amber Orange, Bronze Grey, Crystal Silver, Opal White, Ruby, Vivid Blue ",5,1198, 67 BHP@5000 RPM,104 NM @4000 RPM,11,150Km/h
Datsun GO Plus,"7,240",4.26 Lakh,19 - 20 kmpl ,1198 cc ,"Manual, Automatic ",Petrol ,₹ 4.26 - 7 Lakh ,3995,2450,347,1636,4.6, - ,1507,180," Bronze Grey, Crystal Silver, Opal White, Ruby, Sunstone Brown, Vivid Blue ",7,1198, 67 BHP@5000 RPM,104 NM @4000 RPM,11,145 km/h
Nissan Magnite,"9,502",5.59 Lakh,18 - 20 kmpl ,999 cc ,"Manual, Automatic ",Petrol ,₹ 5.59 - 9.9 Lakh ,3994,2500,336,1758,5,40,1572,205," Blade Silver, Flare Garnet Red/Onyx Black, Onyx Black, Pearl White/Onyx Black, Sandstone Brown, Storm White, Tourmaline Brown/Onyx Black, Vivid Blus/Storm White ",5,999, 71 BHP@6250 RPM,96 NM @3500 RPM,21,150km/h
Nissan Kicks,"16,148",9.5 Lakh,14 - 16 kmpl ,1330 to 1498 cc ,"Manual, Automatic ",Petrol ,₹ 9.5 - 14.65 Lakh ,4384,2673,400,1813,5.2,50,1669,210," Amber Orange, Blade Silver, Bronze Grey, Bronze Grey/Amber Orange, Deep Blue Pearl, Fire Red, Fire Red/ Onyx Black, Night Shade, Pearl White, Pearl White/Onyx Black ",5,1498, 105 BHP@5600 RPM,142 NM @4000 RPM,25,165 km/h
Nissan GT-R,"3,61,035",2.12 Crore,10 kmpl ,3799 cc ,Automatic ,Petrol ,₹ 2.12 Crore ,4710,2780,250,1895, - ,74,1370,110," Gun Metallic, Katsura Orange, Pearl Black, Pearl Blue, Pearl White, Ultimate Silver, Vibrant Red ",4,3799, 565 BHP@6800 RPM,637 NM @3200 RPM,14,330 km/h
Renault Kwid,"5,407",3.18 Lakh,23 - 25 kmpl ,799 to 999 cc ,"Manual, Automatic ",Petrol ,₹ 3.18 - 8.55 Lakh ,3731,2422,279,1579,4.9,28,1474,184," Electric Blue, Fiery Red, Ice Cool White, Moonlight Silver, Outback Bronze, Planet Grey, Zanskar Blue ",5,999, 67 BHP@5500 RPM,91 NM @4250 RPM,15,135 km/h
Renault Triber,"9,009",5.29 Lakh,18 - 20 kmpl ,999 cc ,"Manual, Automatic ",Petrol ,₹ 5.29 - 7.82 Lakh ,3990,2636,625,1739, - ,40,1643,182," Electric Blue, Electric Blue With Black Roof, Fiery Red, Ice Cool White, Ice Cool White With Black Roof, Metal Mustard, Metal Mustard With Black Roof, Moonlight Silver, Moonlight Silver With Black Roof, New Cedar Brown, New Cedar Brown With Black Roof ",7,999, 71 BHP@6250 RPM,96 NM @3500 RPM,41,140 km/h
Renault Kiger,"9,264",5.45 Lakh,12 kmpl ,999 cc ,"Manual, Automatic ",Petrol ,₹ 5.45 - 9.72 Lakh ,3991,2500,405,1750, - ,40,1600,205," Caspian Blue, Caspian Blue With Black Roof, Ice Cool White	, Ice Cool White With Black Roof, Mahogany Brown, Mahogany Brown With Black Roof	, Moonlight Grey, Moonlight Grey With Black Roof, Planet Grey, Planet Grey With Black Roof, Radiant Red, Radiant Red With Black Roof	 ",5,999, 71 BHP@6250 RPM,96 NM @3500 RPM,46,155 km/h
Renault Duster,"14,601",9.73 Lakh,14 - 16 kmpl ,1330 to 1498 cc ,"Manual, Automatic ",Petrol ,₹ 9.73 - 14.12 Lakh ,4360,2673,475,1822,5.2,50,1695,205," Caspian Blue, Cayenne Orange, Mahogany Brown, Moonlight Silver, Slate Grey ",5,1330, 154 BHP@5500 RPM,254 NM @1600 RPM,10,170 km/h
Citroen C5 Aircross,"50,823",29.9 Lakh,18 kmpl ,1997 cc ,Automatic ,Diesel ,₹ 29.9 - 31.9 Lakh ,4500,2730,580,2099,5.35,53,1710, - ," Cumulus Grey, Cumulus Grey With Black Roof, Pearl Nera Black, Pearl White, Pearl White With Black Roof, Tijuca Blue, Tijuca Blue With Black Roof ",5,1997, 174 BHP@3750 RPM,400 NM @2000 RPM,24,219 km/h
