Name,EMI,Price,Mileage,ENGINE,TRANSMISSION,FUEL TYPE,Price range,Length (mm),Wheelbase (mm),Boot Space (L),Width (mm),Turning Radius (m),Fuel Capacity (L),Height (mm),Ground Clearance (mm),Colors,Seating Capacity,Displacement (cc),Peak Power,Peak Torque,Color Varients,Top_Speed
Ferrari Portofino,"5,94,918",3.5 Crore,10 kmpl ,3855 cc ,Automatic ,Petrol ,₹ 3.5 Crore ,4586,2670,292,1938, - ,80,1318, - ," Bianco Avus, Blu Abu Dhabi, Blu Mirabeau, Blu Tour De France, Blue Pozzi, Giallo Modena, Grigio Alloy, Grigio Ingrid, Grigio Silverstone, Grigio Titanio Metallizzato, Nero DS 1250, Nero Daytona, Rosso Scuderia, Russo Corsa, Russo Mugello ",4,3855, 591 BHP@7500 RPM,760 NM @3000 RPM,35,320 Km/h
Ferrari F8 Tributo,"6,83,305",4.02 Crore,8 kmpl ,3902 cc ,Automatic ,Petrol ,₹ 4.02 Crore ,4611,2650,200,1979, - ,78,1206, - , - ,2,3902, 711 BHP@7000 RPM,770 NM @3250 RPM,1,340 Km/h
Ferrari GTC4 Lusso,"7,24,100",4.23 Crore,10 kmpl ,3900 to 6262 cc ,Automatic ,Petrol ,₹ 4.23 - 5.09 Crore ,4922,2990,800,1980, - ,91,1383, - ," Azzurro, Bianco Avus, Blu Mirabeau, Blu Pozi, Blu Scozia, Blu Tour De France, Blue Abu Dhabi, Giallo Modena, Grigio Alloy, Grigio Ingrid, Grigio Medio, Grigio Silverstone, Grigio Titanio, Nero, Nero Daytona, Rosso Corsa, Rosso Mugello, Rosso Suderio, Vinaccia ",2,6262, 680 BHP@8000 RPM,697 NM @5750 RPM,38,335 km/h
Ferrari 812,"8,83,878",5.2 Crore,14 kmpl ,6496 cc ,Automatic ,Petrol ,₹ 5.2 Crore ,4657,2720, - ,1971, - ,92,1276, - ," Alluminio Opaco, Argento Nurburgring, Avorio, Azzurro California, Bianco Avus, Bianco Fuji, Bianco Italia, Blu Abu Dhabi, Blu Mirabeau, Blu Pozzi, Blu Scozia, Blu Swaters, Blu Tour De France, Canna De Fucile, Giallo Modena, Giallo Triplo Strato, Grigio Alloy, Grigio Ferro, Grigio Ingrid, Grigio Scuro, Grigio Silverstone, Grigio Silverstone Opaco, Grigio Titanio Metallizzato, Nero Daytona, Nero Ds 1250, Nero Opaco, Rosso Berlinetta, Rosso Corsa, Rosso Dino, Rosso Florano, Rosso Formula 1 2007, Rosso Fuoco, Rosso Monza, Rosso Mugello, Rosso Scuderia, Verde British ",2,6496, 789 BHP@8500 RPM,718 NM @7000 RPM,81,340 Km/h
Rolls Royce Wraith,"8,50,322",5 Crore,10 kmpl ,6592 cc ,Automatic ,Petrol ,₹ 5 Crore ,5281,3112,490,1947,6.35,83,1507, - ," Arctic White, Black, Madeira Red, Sea Green ",4,6592, 591 BHP@5600 RPM,850 NM @1500 RPM,7,250 Km/h
Rolls Royce Dawn,"10,06,536",5.92 Crore,8 kmpl ,6598 cc ,Automatic ,Petrol ,₹ 5.92 Crore ,5285,3112,295,1947, - ,82,1502, - ," Anthracite, Black Kirsch	, Emerald Green	, Ensine Red	, Jubilee Silver	, Smokey Quartz	, Stone Grey	 ",4,6598, 563 BHP@5000 RPM,820 NM @1600 RPM,18,250 Km/h
Rolls Royce Cullinan,"11,81,336",6.95 Crore,6-7 kmpl,6749 cc ,Automatic ,Petrol ,₹ 6.95 Crore ,5341,3295,560,2000,6.9,100,1835, - ," Anthracite, Arctic White, Black, Blue Velvet, Cornish White, Darkest Tungsten, Diamond Black, Ensign Red, Jubliee Silver, Madeira Red, Metropolitan Blue, Midnight Blue, New Sable, Silver, Woodland Green ",5,6749, 563 BHP@5000 RPM,850 NM @1600 RPM,27,250 km/h
Rolls Royce Phantom VIII,"16,14,776",9.5 Crore,7 kmpl ,6749 cc ,Automatic ,Petrol ,₹ 9.5 Crore ,5770,3552,548,2018,6.9,100,1648, - , - ,5,6749, 563 BHP@5000 RPM,900 NM @1700 RPM,1,250 km/h
Lamborghini Urus,"5,26,927",3.1 Crore,12 kmpl ,3996 cc ,Automatic ,Petrol ,₹ 3.1 Crore ,5112,3003,616,2181, - ,75,1638, - ," Bianco Icarus, Bianco Monocerus, Blu Astraeus, Giallo Auge, Grigio Lynx, Grigio Nimbus, Nero Helene, Nero Noctis, Rosso Anteros, Rosso Mars ",5,3996, 650 BHP@6000 RPM,850 NM @6800 RPM,20,305 Km/h
Lamborghini Huracan,"5,47,324",3.22 Crore,7 kmpl ,5204 cc ,Automatic ,Petrol ,₹ 3.22 - 4.1 Crore ,4520,2620, - ,1933, - , - ,1165, - ," Arancio Borealis, Bianco Canopus, Bianco Icarus, Bianco Monocerus, Blu Sideris, Blue Caelum, Giallo Inti, Grigio Lynx, Grigio Nimbus, Grigio Titans, Marrone Apus, Nero Granatus, Nero Nemesis, Nero Serapis, Rosso Mars, Verde Mantis, Verde Selvans ",2,5204, 631 BHP@8250 RPM,600 NM @6500 RPM,34,325 km/h
Maserati Ghibli,"1,95,473",1.15 Crore,16.9 kmpl,1998 to 3799 cc ,Automatic ,"Petrol, Diesel ",₹ 1.15 - 1.92 Crore ,4971,2998,500,1945,5.8,70,1461, - ," Bianco, Bianco Alpi, Blu Emozione, Blu Nobile, Blu Passione, Grigio, Grigio Maratea, Nero, Nero Ribelle, Rosso Folgore ",5,2987, 275 BHP@4000 RPM,600 NM @2000 RPM,17,286 Km/h
Maserati Levante,"2,41,328",1.45 Crore,14 kmpl ,2987 cc ,Automatic ,Diesel ,₹ 1.45 Crore ,5003,3004,580,1968,5.85,80,1679, - ," Bianco, Bianco Alpi, Blu Emozione, Blu Passione, Grigio, Grigio Maratea, Nero, Nero Ribelle, Rame ",5,2987, 275 BHP@4000 RPM,600 NM @2000 RPM,14,264 Km/h
Maserati Quattroporte,"2,78,684",1.64 Crore,9-16 kmpl,2979 to 2987 cc ,Automatic ,"Petrol, Diesel ",₹ 1.64 - 1.73 Crore ,5262,3171,530,1948,6.15,70,1481, - ," Bianco Eldorado, Blu Passione, Bronzo Siena, Champagne, Grigio Metallo, Nero, Nero Rebelle, Rosso Folgore ",5,2987, 275 BHP@4000 RPM,600 NM @2000 RPM,14,310 Km/h
Maserati GranTurismo,"3,82,447",2.25 Crore,12 kmpl ,4691 cc ,Automatic ,Petrol ,₹ 2.25 Crore ,4920,2942,260,1915,5.35,86,1380, - ," Bianco Eldorado, Blu Sofisticato, Grigio Granito, Nero, Nero Carbonio, Rosso Trionfale ",4,4691, 453 BHP@7000 RPM,520 NM @4750 RPM,11,298 km/h
